hackathon_id,user_id,interaction_type
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,SagarJethi,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,adobysh,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,0xajyku,view
13586,0xajyku,view
13586,0xajyku,view
13586,vladaone,view
13586,vladaone,view
13586,SagarJethi,view
13586,vladaone,view
13586,SagarJethi,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
13586,vladaone,view
21254,meghnani-bhavya,view
21254,vaishnavi-kale3011,view
21254,meghnani-bhavya,view
18598,MegamiTensei,view
18598,rogersamuel315,view
18598,rogersamuel315,view
18598,3Labs,view
18598,3Labs,view
18598,151400008,view
18598,vaishnavi-kale3011,view
8483,17majeed_s,view
8483,17majeed_s,view
8483,CharmiKadi,view
8483,CharmiKadi,view
8483,mostuselessboy,view
8483,Bobliuuu,view
8483,Bobliuuu,view
8483,ap05,view
8483,xiaoe5800,view
8483,ethan-pronev,view
8483,xiaoe5800,view
8483,andre-slavescu,view
8483,garyniu,view
8483,tommcn,view
8483,mohitbhavsar707,view
8483,gracejyu,view
8483,gracejyu,view
8483,bailey-luu30,view
8483,bailey-luu30,view
8483,bailey-luu30,view
8483,neeltron,view
8483,neeltron,view
8483,daniellestrachman,view
8483,AheleeBhattacharya,view
8483,claire-wang028,view
8483,aileen-wanying-luo,view
8483,aileen-wanying-luo,view
8483,potatoeggy,view
8483,StuffByLiang,view
8483,StuffByLiang,view
8483,raymondwur,view
8483,bariumlanthanum,view
8483,varGeneric,view
8483,mohitbhavsar707,view
8483,ekamis,view
8483,daniellestrachman,view
8483,ethan-pronev,view
8483,croissantfriend,view
8483,allu5662,view
8483,sarahli8006,view
8483,thefakedaniel,view
8483,rrvigneshkumar2002,view
8483,techwizzie,view
8483,claire-wang028,view
8483,daniellestrachman,view
8483,StuffByLiang,view
8483,StuffByLiang,view
8483,ramim66809,view
8483,ramim66809,view
8483,ramim66809,view
8483,Bobliuuu,view
8483,Bobliuuu,view
8483,albertlai631,view
8483,albertlai631,view
8483,vedaant-varshney,view
8483,kartikagrawal7196,view
8483,kartikagrawal7196,view
8483,cheollie,view
8483,KennethRuan,view
